KabupatenKota,UHH,AKB,AKABA,AKI,AngkaKesakitan,BBU,TBU,BBTB
Kabupaten Cilacap,73.52,5.4,6.6,55.41126,14.7,4.9,4.9,2.4
Kabupaten Banyumas,73.55,7.4,8.2,37.7145,21.55,8.5,15.8,4.7
Kabupaten Purbalingga,73.02,7.6,9.1,81.21278,19.6,4,6.9,1.4
Kabupaten Banjarnegara,74.01,12.1,13.7,139.8335,18.37,7.8,23.7,1.6
Kabupaten Kebumen,73.22,6.9,8.2,45.85754,20.19,5.2,12.8,0.8
Kabupaten Purworejo,74.52,10.8,13.8,179.8763,17.34,5.4,7.4,2.7
Kabupaten Wonosobo,71.6,8.2,9.1,126.8331,19.26,3.8,7.1,1.1
Kabupaten Magelang,73.56,8.3,9,46.65539,16.97,9.3,17,2.7
Kabupaten Boyolali,75.83,8.8,10.4,94.83513,17.82,3.3,5.3,1.9
Kabupaten Klaten,76.68,10,11.6,76.52573,15.9,7.3,8.5,3.9
Kabupaten Sukoharjo,77.55,5.5,7.3,39.8499,10.65,4.1,2.6,1.7
Kabupaten Wonogiri,76.07,8.1,9.2,83.10249,11.09,0.6,8,3
Kabupaten Karanganyar,77.38,8.4,9.6,49.18839,10.89,6,6.3,1.5
Kabupaten Sragen,75.62,6.5,8.2,49.8008,16.61,3.6,5.7,2.2
Kabupaten Grobogan,74.61,13.2,14.9,166.9836,15.99,0.9,7.4,2.7
Kabupaten Blora,74.23,11.1,13.2,94.56671,24.91,9.6,8.2,5.2
Kabupaten Rembang,74.43,17.7,20.9,75.70841,18.27,8.4,5.5,7.2
Kabupaten Pati,76.04,8.5,9.4,45.08312,19.28,5.7,4.2,3.3
Kabupaten Kudus,76.5,8.2,9.5,72.90562,16.34,3.6,4.7,2.9
Kabupaten Jepara,75.74,4.7,5.5,64.04887,17.64,14.8,19.6,10.4
Kabupaten Demak,75.31,5.3,6.7,62.56618,18.01,6.6,6.8,3.6
Kabupaten Semarang,75.63,7.4,8.2,70.71136,18.62,3.7,6.1,2.8
Kabupaten Temanggung,75.48,12.5,14.7,85.26765,14.13,5.5,13.3,4.3
Kabupaten Kendal,74.33,9.6,11.1,103.9434,19.11,4.1,2.2,1.3
Kabupaten Batang,74.59,11.4,13.3,111.0847,17,7.5,10.3,3.7
Kabupaten Pekalongan,73.57,8.7,10.8,60.44853,18.84,3.8,5.4,8.4
Kabupaten Pemalang,73.22,5.6,6.2,50.39346,15.2,5.8,11.1,3.7
Kabupaten Tegal,71.4,6.1,6.9,44.53516,15.59,4.6,5.9,2.4
Kabupaten Brebes,69.04,9.6,11.6,116.7192,19.73,8.3,8.8,4.3
Kota Magelang,76.75,10.4,11.7,130.5483,10.88,4.9,6.6,3.4
Kota Surakarta,77.12,5,6.1,41.65365,20.65,2.7,1.7,0.8
Kota Salatiga,77.22,10.6,11.4,78.67821,15.88,3.1,3.1,1
Kota Semarang,77.25,6.1,7.2,75.80224,8.04,2.8,2.3,1.9
Kota Pekalongan,74.28,12,16,101.3,16.68,9.3,16.1,5.6
Kota Tegal,74.34,8.8,11.9,71.19127,21.5,10.4,4.7,4.5
